"Entry type","Autor einheitl.","Vollständiger Titel","Druckjahr","Verlagsort","Link zum Digitalisat"
"OLD","Garnier, Philippe","Philippi Garneri Aurelianensis Galli ... Gemmulae Gallicae Linguae : Latine & Germanice ita adornatae, Ut exinde facili ac iucundo quopiam labore lingua Gallica & Italica addisci queat","1628","Strassburg","http://resolver.staatsbibliothek-berlin.de/SBB00025A4D00000000"
"OLD","Garnier, Philippe","Gemmulae Gallicae Linguae : Latine & Germanice ita adornatae, Ut exinde facili ac iucundo quopiam labore lingua Gallica addisci queat
Accessit insuper ad hanc ultiman Editionem nova genuini Idiomatis Italici versio, ut & huius linguae Studiosis affatim satisfieri possit
/ Studio & opera L. Donato Italo-Florent. P.","1634","Strassburg","https://www.digitale-sammlungen.de/de/view/bsb11281661?page=1"
"OLD","Garnier, Philippe","Gemmulæ linguarum, latinæ, gallicæ, italicæ et germanicæ. : Studio et operâ Philippi Garnerii, Gallii, et L. Donati, Itali...","1637","Leiden","https://books.google.be/books?id=hlETAAAAQAAJ&hl=de&pg=PP5#v=onepage&q&f=false"
"OLD","Garnier, Philippe","Gemmulae linguarum, Latinae, Gallicae, Italicae [et] Germanicae./ Studio [et] operâ Philippi Garnerii, Galli, [et] L. Donati, Itali.","1641","Leiden","https://books.google.de/books?id=gW4f8GaLQN8C&hl=de&pg=PA1#v=onepage&q&f=false"
"OLD","Garnier, Philippe","Philippi Garneri Aurelianensis ... gemmulae Gallicae linguae: Latine et Germanice ita adornatae, ut exinde ... lingua Gallica addisci queat : Accessit ... nova genuini idiomatis Italici versio ... / Studio et opera L. Donati, Italo-Florent","1644","Frankfurt","https://www.digitale-sammlungen.de/de/view/bsb11281197?page=1"
"OLD","Garnier, Philippe","Gemmulae linguarum latinae, gallicae, italicae et germanicae","1648","Leiden","http://digital.slub-dresden.de/id323680143"
"OLD","Garnier, Philippe ","Dialogues en quatre langues, Françoise, Espagnole, Italienne, & Allemande. = Gemein Gespräch In vier Spraachen/ Frantzösisch/ Spanisch/ Italiänisch/ und Hoochdeutsch. ","1656","Amsterdam","http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10779633-3"
"OLD","Garnier, Philippe","Dialogues en cinq langues Espagnolle, Italienne, Latine, Françoise, & Allemande. Composez premierement par Philippe Garnier et maintenant mis en meilleur ordre & accomodez au Langage du temps. Derniere edition reveüe, corrigée, & augmentée par Philemon Fabri, Parisien","1659","Strassburg","http://digital.slub-dresden.de/id399714006"
"OLD","Kramer, Matthias","Nomenclatura Toscana, Tedesca, e Spagnuola di quei vocaboli che occorrono giornalmente. Nomenclatura Toscana, Tudesca, y Espagnola de aquellas palabras o vocablos que se usan cada dia. Italianisch/ Teutsch- und Spanisch Namen-Büchlein. Der jenigen Wörter/ so täglich fürfallen / Gestellet von Matthia Krämer: SS. T. S. Sprachmeister zu Nürnberg","1670","Nürnberg",""
"OLD","Kramer, Matthias","Allgemeiner Schau-Platz... Teatro universale","1672","Nürnberg","https://nbn-resolving.org/urn:nbn:de:bvb:12-bsb10588104-9"
"NEW","Kramer, Matthias","Vollständige Italiänische Grammatica das ist: Toscanisch-Romanische Sprach-Lehre","1674","Nürnberg","https://mdz-nbn-resolving.de/urn:nbn:de:bvb:12-bsb10588098-8"
"NEW","Kramer, Matthias","II nuovo dizzionario ... Das neue Dictionarium Band 1","1676","Nürnberg","https://www.digitale-sammlungen.de/de/view/bsb10588095?page=,1"
"OLD ","Kramer, Matthias","II nuovo dizzionario ... Das neue Dictionarium Band 2","1676","Nürnberg","https://www.digitale-sammlungen.de/de/view/bsb10588096?page=,1"
"OLD","Kramer, Matthias","II nuovo dizzionario ... Das neue Dictionarium","1676","Nürnberg",""
"OLD ","Kramer, Matthias","Il nuovo dizzionario...","1678","Nürnberg","https://www.digitale-sammlungen.de/de/view/bsb10588097?page=8,9"
"OLD","Kramer, Matthias","Allgemeiner Schau-Platz... Teatro universale","1679","Nürnberg","https://books.google.de/books?id=oAXR7xAygJgC&printsec=frontcover&hl=de&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"
"OLD ","Kramer, Matthias","Teutsch- und Italiänische Gespräche/ Nach der Toscanisch-Romanischer Redart dieser unserer Zeit","1679","Nürnberg",""
"OLD","Kramer, Matthias","Neues hoch-nützliches Tractätlein Von der DERIVATIONE [et] COMPOSITIONE, Das ist: Herleit- und Doppel-Kunst der Italiänischen Primitivorum Oder Stamm-Wörteren: Woraus ein jedlicher leichtlich, ja mit Lust ersehen kan, was diese Sprach, neben denen vielfaltig-pur Lateinischen Wörtern, deren sie sich bedienet, in Ableit- und Doppelung vermöge; auch dabey lernen, was Gestalt bey begebender Gelegenheit im Reden so wol als im Schreiben dergleichen schicklich zu dichten und zu brauchen, und alls in kurtzer Zeit, und mit schlechter Mühe, grosse Wörter-Schätze zu samlen seyen","1680","Nürnberg","https://books.google.cz/books?vid=NKP:1002589011-001&printsec=frontcover"
